"rgn_id","species_code","year","tonnes"
1,72,2005,12775
1,72,2006,12083
1,72,2007,12002
1,72,2008,11067
1,72,2009,11067
1,72,2010,13723
1,72,2011,15970
1,72,2012,0
1,73,2003,90190
1,73,2004,75904
1,73,2005,63134
1,73,2006,65000
1,73,2007,65000
1,73,2008,70251
1,73,2009,65188
1,73,2010,69422
1,73,2011,65671
1,73,2012,74116
1,74,2003,20
1,74,2004,43
1,74,2005,30
1,74,2006,36
1,74,2007,31
1,74,2008,28
1,74,2009,30
1,74,2010,33
1,74,2011,30
1,74,2012,20
1,75,2004,432
1,75,2005,310
1,75,2006,327
1,75,2007,491
1,75,2008,390
1,75,2009,320
1,75,2010,325
1,75,2011,320
1,75,2012,300
1,76,2003,32
1,76,2004,61
1,76,2005,84
1,76,2006,86
1,76,2007,83
1,76,2008,48
1,76,2009,40
1,76,2010,25
1,76,2011,30
1,76,2012,30
1,77,2004,1
1,77,2005,0
1,77,2006,3
1,77,2007,3
1,77,2008,0
1,77,2009,1
1,77,2010,0
1,77,2011,5
1,77,2012,5
1,78,2003,8
1,78,2004,30
1,78,2005,0
1,78,2006,0
1,78,2007,0
1,78,2008,0
1,78,2009,0
1,78,2010,0
1,78,2011,30
1,78,2012,25
1,79,2003,5
1,79,2004,0
1,79,2005,0
1,79,2006,0
1,79,2007,0
1,79,2008,0
1,79,2009,30
1,79,2010,30
1,79,2011,50
1,79,2012,70
1,80,2004,5
1,80,2005,4
1,80,2006,3
1,80,2007,2
1,80,2008,3
1,80,2009,5
1,80,2010,5
1,80,2011,5
1,80,2012,50
1,81,2003,5
1,81,2004,7
1,81,2005,0
1,81,2006,0
1,81,2007,0
1,81,2008,0
1,81,2009,0
1,81,2010,0
1,81,2011,40
1,81,2012,30
1,82,2003,15
1,82,2004,118
1,82,2005,171
1,82,2006,228
1,82,2007,288
1,82,2008,595
1,82,2009,0
1,82,2010,0
1,82,2011,0
1,82,2012,0
1,83,2008,80
1,83,2009,100
1,83,2010,120
1,83,2011,140
1,83,2012,140
1,84,2008,495
1,84,2009,600
1,84,2010,700
1,84,2011,800
1,84,2012,900
1,85,2008,800
1,85,2009,1000
1,85,2010,1000
1,85,2011,1200
1,85,2012,1400
1,86,2008,15
1,86,2009,20
1,86,2010,20
1,86,2011,20
1,86,2012,40
1,87,2008,25
1,87,2009,40
1,87,2010,60
1,87,2011,80
1,87,2012,90
1,88,2003,524
1,88,2004,700
1,88,2005,890
1,88,2006,1360
1,88,2007,1290
1,88,2008,0
1,88,2009,0
1,88,2010,0
1,88,2011,0
1,88,2012,0
1,89,2008,80
1,89,2009,100
1,89,2010,120
1,89,2011,140
1,89,2012,140
1,90,2003,90
1,90,2004,75
1,90,2005,110
1,90,2006,40
1,90,2007,70
1,90,2008,75
1,90,2009,75
1,90,2010,80
1,90,2011,100
1,90,2012,120
1,91,2008,80
1,91,2009,100
1,91,2010,120
1,91,2011,140
1,91,2012,140
1,92,2003,5784
1,92,2004,5083
1,92,2005,4946
1,92,2006,4988
1,92,2007,3582
1,92,2008,3335
1,92,2009,3077
1,92,2010,3463
1,92,2011,3380
1,92,2012,4026
1,93,2003,0
1,93,2004,0
1,93,2005,0
1,93,2006,0
1,93,2007,0
1,93,2008,0
1,93,2009,0
1,93,2010,0
1,93,2011,0
1,93,2012,0
1,94,2003,0
1,94,2004,0
1,94,2005,0
1,94,2006,0
1,94,2007,0
1,94,2008,0
1,94,2009,0
1,94,2010,0
1,94,2011,0
1,94,2012,0
1,95,2003,34550
1,95,2004,35000
1,95,2005,35000
1,95,2006,47880
1,95,2007,31511
1,95,2008,30810
1,95,2009,31550
1,95,2010,30585
1,95,2011,27184
1,95,2012,36120
1,96,2003,72678
1,96,2004,61774
1,96,2005,63370
1,96,2006,70181
1,96,2007,70998
1,96,2008,73260
1,96,2009,68670
1,96,2010,70800
1,96,2011,74880
1,96,2012,71998
1,97,2003,20517
1,97,2004,22857
1,97,2005,22842
1,97,2006,23774
1,97,2007,23872
1,97,2008,22506
1,97,2009,23912
1,97,2010,24484
1,97,2011,25509
1,97,2012,28124
1,98,2003,0
1,98,2004,0
1,98,2005,0
1,98,2006,0
1,98,2007,211
1,98,2008,329
1,98,2009,539
1,98,2010,438
1,98,2011,341
1,98,2012,406
1,99,2003,15700
1,99,2004,0
1,99,2005,0
1,99,2006,0
1,99,2007,0
1,99,2008,0
1,99,2009,0
1,99,2010,0
1,99,2011,0
1,99,2012,0
1,100,2003,1400
1,100,2004,0
1,100,2005,0
1,100,2006,0
1,100,2007,0
1,100,2008,0
1,100,2009,0
1,100,2010,0
1,100,2011,0
1,100,2012,0
1,101,2003,1589
1,101,2004,1528
1,101,2005,1856
1,101,2006,1707
1,101,2007,1651
1,101,2008,1300
1,101,2009,1200
1,101,2010,1500
1,101,2011,1300
1,101,2012,1113
1,102,2003,582
1,102,2004,808
1,102,2005,832
1,102,2006,708
1,102,2007,241
1,102,2008,136
1,102,2009,152
1,102,2010,777
1,102,2011,315
1,102,2012,302
1,103,2003,7837
1,103,2004,7562
1,103,2005,8011
1,103,2006,8149
1,103,2007,7493
1,103,2008,5300
1,103,2009,5400
1,103,2010,7400
1,103,2011,7500
1,103,2012,7165
1,104,2003,0
1,104,2004,0
1,104,2005,0
1,104,2006,0
1,104,2007,0
1,104,2008,0
1,104,2009,0
1,104,2010,0
1,104,2011,0
1,104,2012,0
1,105,2008,5578
1,105,2009,10625
1,105,2010,12899
1,105,2011,14264
1,105,2012,16831
1,106,2003,145
1,106,2004,87
1,106,2005,237
1,106,2006,58
1,106,2007,168
1,106,2008,285
1,106,2009,388
1,106,2010,702
1,106,2011,302
1,106,2012,165
1,107,2003,108
1,107,2004,25
1,107,2005,50
1,107,2006,50
1,107,2007,50
1,107,2008,127
1,107,2009,111
1,107,2010,201
1,107,2011,89
1,107,2012,102
1,108,2003,1
1,108,2004,4
1,108,2005,8
1,108,2006,10
1,108,2007,4
1,108,2008,9
1,108,2009,0
1,108,2010,0
1,108,2011,0
1,108,2012,0
1,109,2003,0
1,109,2004,0
1,109,2005,0
1,109,2006,0
1,109,2007,0
1,109,2008,0
1,109,2009,0
1,109,2010,0
1,109,2011,0
1,109,2012,0
1,110,2003,575
1,110,2004,746
1,110,2005,592
